"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
1979,0.09489136312439594,AFG,Afghanistan,USA,United States of America,1
1980,0.3781522025156301,AFG,Afghanistan,USA,United States of America,1
1980,1.1575824309882359,AFG,Afghanistan,USA,United States of America,2
1981,0.4948218258313899,AFG,Afghanistan,USA,United States of America,1
1982,0.5342938434563838,AFG,Afghanistan,USA,United States of America,2
1982,0.5214775496122908,AFG,Afghanistan,USA,United States of America,1
1983,0.15611291813732642,AFG,Afghanistan,USA,United States of America,2
1983,0.4661234611320024,AFG,Afghanistan,USA,United States of America,1
1984,0.07050942304100616,AFG,Afghanistan,USA,United States of America,1
1984,-0.19817611033764582,AFG,Afghanistan,USA,United States of America,2
1985,0.3688760276833447,AFG,Afghanistan,USA,United States of America,1
1985,0.006318542806658556,AFG,Afghanistan,USA,United States of America,2
1986,2.865005704459316,AFG,Afghanistan,USA,United States of America,2
1986,0.7895733575632384,AFG,Afghanistan,USA,United States of America,1
1987,0.486571733034209,AFG,Afghanistan,USA,United States of America,1
1987,1.4736415490789279,AFG,Afghanistan,USA,United States of America,2
1988,1.7820348124935057,AFG,Afghanistan,USA,United States of America,3
1988,1.1311342888692497,AFG,Afghanistan,USA,United States of America,1
1989,-0.11624652412282543,AFG,Afghanistan,USA,United States of America,2
1989,0.5097481234571832,AFG,Afghanistan,USA,United States of America,1
1990,0.42107173981449986,AFG,Afghanistan,USA,United States of America,1
1990,-1.9902818910688862,AFG,Afghanistan,USA,United States of America,2
1991,1.6849526529439833,AFG,Afghanistan,USA,United States of America,2
1991,0.2292858060646008,AFG,Afghanistan,USA,United States of America,1
1992,1.603571972942424,AFG,Afghanistan,USA,United States of America,1
1992,2.4396139814904823,AFG,Afghanistan,USA,United States of America,2
1993,-2.892372026468183,AFG,Afghanistan,USA,United States of America,3
1993,0.30959204469554,AFG,Afghanistan,USA,United States of America,1
1994,-0.8562506578199951,AFG,Afghanistan,USA,United States of America,3
1994,-0.03220337345911162,AFG,Afghanistan,USA,United States of America,1
1994,5.003054536771024,AFG,Afghanistan,USA,United States of America,2
1995,0.7473248767990244,AFG,Afghanistan,USA,United States of America,2
1995,0.6760722318062546,AFG,Afghanistan,USA,United States of America,1
1995,0.7144138503241644,AFG,Afghanistan,USA,United States of America,3
1996,0.4332932253863859,AFG,Afghanistan,USA,United States of America,1
1996,0.9774447533011736,AFG,Afghanistan,USA,United States of America,3
1996,-1.2639633695345234,AFG,Afghanistan,USA,United States of America,2
1997,-1.0782594460413426,AFG,Afghanistan,USA,United States of America,2
1997,-0.37584558661283296,AFG,Afghanistan,USA,United States of America,1
1997,-0.957690112933756,AFG,Afghanistan,USA,United States of America,3
1998,0.12212300157661549,AFG,Afghanistan,USA,United States of America,1
1998,1.8884019068533444,AFG,Afghanistan,USA,United States of America,2
1998,0.37178476804525573,AFG,Afghanistan,USA,United States of America,3
1999,-0.5721906905036418,AFG,Afghanistan,USA,United States of America,3
1999,-0.8674356299727295,AFG,Afghanistan,USA,United States of America,2
1999,-0.12821410193437455,AFG,Afghanistan,USA,United States of America,1
2000,-0.8102850454041617,AFG,Afghanistan,USA,United States of America,3
2000,0.1839130812043237,AFG,Afghanistan,USA,United States of America,2
2000,-0.18311485292869722,AFG,Afghanistan,USA,United States of America,1
2001,-0.010647585401037496,AFG,Afghanistan,USA,United States of America,1
2001,-0.15460960758883324,AFG,Afghanistan,USA,United States of America,3
2001,0.06623425296382646,AFG,Afghanistan,USA,United States of America,2
2002,-0.08014116102281754,AFG,Afghanistan,USA,United States of America,2
2002,-0.48669094788951384,AFG,Afghanistan,USA,United States of America,3
2002,-0.3082146720440351,AFG,Afghanistan,USA,United States of America,1
2003,0.29975509938242784,AFG,Afghanistan,USA,United States of America,2
2003,-0.7208096608279702,AFG,Afghanistan,USA,United States of America,3
2003,-0.6274030361554095,AFG,Afghanistan,USA,United States of America,1
2004,0.5984401495053326,AFG,Afghanistan,USA,United States of America,2
2004,-0.6180362797545902,AFG,Afghanistan,USA,United States of America,3
2004,-0.5017739724001595,AFG,Afghanistan,USA,United States of America,1
2005,-0.7313800949431286,AFG,Afghanistan,USA,United States of America,1
2005,-0.5493342953862594,AFG,Afghanistan,USA,United States of America,3
2005,0.42677906285889033,AFG,Afghanistan,USA,United States of America,2
2006,-0.8872745148388468,AFG,Afghanistan,USA,United States of America,1
2006,-0.6685667993260971,AFG,Afghanistan,USA,United States of America,2
2006,-0.9983456871924936,AFG,Afghanistan,USA,United States of America,3
2007,-0.9463780797442549,AFG,Afghanistan,USA,United States of America,3
2007,-0.7171143857565614,AFG,Afghanistan,USA,United States of America,1
2007,-1.2465087606443523,AFG,Afghanistan,USA,United States of America,2
2008,-0.7152489695195108,AFG,Afghanistan,USA,United States of America,3
2008,-0.570945161150954,AFG,Afghanistan,USA,United States of America,1
2008,-0.5751392974708258,AFG,Afghanistan,USA,United States of America,2
2009,-0.4023835075964719,AFG,Afghanistan,USA,United States of America,2
2009,-0.41398031824153136,AFG,Afghanistan,USA,United States of America,1
2009,-0.43930490190017224,AFG,Afghanistan,USA,United States of America,3
2010,-0.6326369355492982,AFG,Afghanistan,USA,United States of America,1
2010,-0.335028597965227,AFG,Afghanistan,USA,United States of America,2
2010,-0.6631394645470605,AFG,Afghanistan,USA,United States of America,3
2011,-0.5937986896630258,AFG,Afghanistan,USA,United States of America,1
2011,-0.6637576414133504,AFG,Afghanistan,USA,United States of America,3
2011,-0.8554953158904626,AFG,Afghanistan,USA,United States of America,2
2012,-0.4380107564037319,AFG,Afghanistan,USA,United States of America,1
2012,-0.12553721373033877,AFG,Afghanistan,USA,United States of America,2
2012,-0.4396006685794296,AFG,Afghanistan,USA,United States of America,3
2013,-0.23177032151408117,AFG,Afghanistan,USA,United States of America,2
2013,0.042890532804467085,AFG,Afghanistan,USA,United States of America,3
2013,-0.046040202142271,AFG,Afghanistan,USA,United States of America,1
2014,0.04365007327992876,AFG,Afghanistan,USA,United States of America,1
2014,0.11065870819053902,AFG,Afghanistan,USA,United States of America,3
2014,0.011792314669299753,AFG,Afghanistan,USA,United States of America,2
2015,-0.6435217488199685,AFG,Afghanistan,USA,United States of America,3
2015,-0.8648207063012314,AFG,Afghanistan,USA,United States of America,2
2015,-0.8736386136105201,AFG,Afghanistan,USA,United States of America,1
2016,-1.0864329510500332,AFG,Afghanistan,USA,United States of America,1
2016,-0.7082405733122805,AFG,Afghanistan,USA,United States of America,2
2016,-0.9230403075174562,AFG,Afghanistan,USA,United States of America,3
2017,-0.7842857849838445,AFG,Afghanistan,USA,United States of America,2
2017,-0.960853817307787,AFG,Afghanistan,USA,United States of America,1
2017,-0.6505025101544168,AFG,Afghanistan,USA,United States of America,3
2018,0.06928570360088782,AFG,Afghanistan,USA,United States of America,2
2018,-0.5956705934315667,AFG,Afghanistan,USA,United States of America,3
2018,-0.735871813722256,AFG,Afghanistan,USA,United States of America,1
2019,-0.0063375427073342205,AFG,Afghanistan,USA,United States of America,2
2019,-0.6462088355518514,AFG,Afghanistan,USA,United States of America,1
2019,-0.2698421472269854,AFG,Afghanistan,USA,United States of America,3
2020,0.6241088519397597,AFG,Afghanistan,USA,United States of America,2
2020,0.05473242714628457,AFG,Afghanistan,USA,United States of America,3
2020,-0.2257751948644744,AFG,Afghanistan,USA,United States of America,1
2021,-0.9772838402316093,AFG,Afghanistan,USA,United States of America,1
2021,-1.4231435220187978,AFG,Afghanistan,USA,United States of America,2
2021,-0.6737401595543973,AFG,Afghanistan,USA,United States of America,3
2022,-0.2971587054249185,AFG,Afghanistan,USA,United States of America,3
2022,-0.46040937773924506,AFG,Afghanistan,USA,United States of America,1
2022,-1.3171010157447136,AFG,Afghanistan,USA,United States of America,2
