number,year
147163,1920
168397,1979
216255,1980
253325,1981
298268,1982
329392,1983
323233,1984
376376,1985
408891,1986
420152,1987
467218,1988
397343,1989
441394,1990
601582,1991
416918,1992
481231,1993
679098,1994
662387,1995
1056637,1996
1404433,1997
1599436,1998
1690468,1999
1647045,2000
1821597,2001
1601225,2002
2101507,2003
1675381,2004
1223084,2005
2127994,2006
3631308,2007
4199625,2008
7193395,2009
6286532,2010
8302238,2011
8769808,2012
9478992,2013
13046366,2014
16907255,2015
18543502,2016
16914273,2017
15567917,2018
13799409,2019
10194842,2020
9199625,2021
3922128,2022